INFO 2024-12-06 14:16:03,098 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-06 14:16:03,098 autoreload Waiting for apps ready_event.
DEBUG 2024-12-06 14:16:03,458 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-06 14:16:03,471 autoreload Watching dir C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-12-06 14:16:03,471 autoreload Watching dir C:\Users\propa\OneDrive\Documentos\Local-Bite\backend\locale with glob **/*.mo.
DEBUG 2024-12-06 14:16:03,471 autoreload Watching dir C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-12-06 14:16:03,471 autoreload Watching dir C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2024-12-06 14:16:03,472 autoreload Watching dir C:\Users\propa\OneDrive\Documentos\Local-Bite\backend\api\locale with glob **/*.mo.
DEBUG 2024-12-06 14:16:03,655 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\requests\hooks.py first seen with mtime 1731273657.4374495
DEBUG 2024-12-06 14:16:03,655 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\apps\registry.py first seen with mtime 1730002023.2364535
DEBUG 2024-12-06 14:16:03,655 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\corsheaders\defaults.py first seen with mtime 1730002033.591566
DEBUG 2024-12-06 14:16:03,655 autoreload File C:\Python\Lib\http\cookies.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,656 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\core\serializers\json.py first seen with mtime 1730002025.7722127
DEBUG 2024-12-06 14:16:03,656 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1730002025.0890007
DEBUG 2024-12-06 14:16:03,656 autoreload File C:\Python\Lib\inspect.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,656 autoreload File C:\Python\Lib\asyncio\base_futures.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,657 autoreload File C:\Python\Lib\weakref.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,657 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\views\__init__.py first seen with mtime 1730002025.970266
DEBUG 2024-12-06 14:16:03,657 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\charset_normalizer\version.py first seen with mtime 1731273657.1223805
DEBUG 2024-12-06 14:16:03,657 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\functions\math.py first seen with mtime 1730002025.841229
DEBUG 2024-12-06 14:16:03,657 autoreload File C:\Python\Lib\concurrent\futures\_base.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,657 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\utils\representation.py first seen with mtime 1730002032.9944315
DEBUG 2024-12-06 14:16:03,658 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\core\management\color.py first seen with mtime 1730002025.7532074
DEBUG 2024-12-06 14:16:03,658 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\urls\conf.py first seen with mtime 1730002025.9407566
DEBUG 2024-12-06 14:16:03,658 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\utils\http.py first seen with mtime 1730002025.9572637
DEBUG 2024-12-06 14:16:03,658 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1730002025.9207506
DEBUG 2024-12-06 14:16:03,659 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\generics.py first seen with mtime 1730002032.8403964
DEBUG 2024-12-06 14:16:03,659 autoreload File C:\Python\DLLs\_hashlib.pyd first seen with mtime 1712688662.0
DEBUG 2024-12-06 14:16:03,659 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1730002025.7792137
DEBUG 2024-12-06 14:16:03,659 autoreload File C:\Python\Lib\random.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,659 autoreload File C:\Python\Lib\asyncio\mixins.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,660 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\urllib3\_request_methods.py first seen with mtime 1731273656.6222656
DEBUG 2024-12-06 14:16:03,660 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\manager.py first seen with mtime 1730002025.828225
DEBUG 2024-12-06 14:16:03,660 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\sqlparse\formatter.py first seen with mtime 1730002022.5784452
DEBUG 2024-12-06 14:16:03,660 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\pymysql\err.py first seen with mtime 1730002345.7158835
DEBUG 2024-12-06 14:16:03,661 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1730002025.9462607
DEBUG 2024-12-06 14:16:03,661 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1730002025.9512622
DEBUG 2024-12-06 14:16:03,661 autoreload File C:\Python\Lib\unittest\util.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,661 autoreload File C:\Python\Lib\unittest\case.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,662 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1730002025.8477342
DEBUG 2024-12-06 14:16:03,662 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\django\utils\dates.py first seen with mtime 1730002025.9512622
DEBUG 2024-12-06 14:16:03,662 autoreload File C:\Python\Lib\importlib\resources\readers.py first seen with mtime 1712688618.0
DEBUG 2024-12-06 14:16:03,662 autoreload File C:\Users\propa\OneDrive\Documentos\Local-Bite\env\Lib\site-packages\rest_framework\decorators.py first seen with mtime 1730002032.837395
